Ref Code,Type,Topic,Service Mapping
มาตรา 13(5),พ.ร.บ.ไซเบอร์,หน่วยงาน CII ต้องกำหนดมาตรฐานที่เหมาะสมเพื่อรับมือภัยคุกคามไซเบอร์,"🔹 NIST CSF Gap Assessment
🔹 Cybersecurity Maturity Assessment"
"มาตรา 43, 44, 45",พ.ร.บ.ไซเบอร์,หน่วยงานต้องมีนโยบาย มาตรฐาน และแนวทางการป้องกันภัยไซเบอร์ตามแผนของชาติ,"🔹 NIST CSF Gap Assessment (Policy & Controls)
🔹 Baseline Readiness Only"
มาตรา 54,พ.ร.บ.ไซเบอร์,ประเมินความเสี่ยงและตรวจสอบระบบความมั่นคงไซเบอร์อย่างน้อยปีละครั้ง โดยผู้ประเมินภายใน/ภายนอก,🔹 Cyber Risk Assessment (IT/OT)
มาตรา 58,พ.ร.บ.ไซเบอร์,หน่วยงานต้องรับมือกับภัยคุกคามไซเบอร์ โดยต้องประเมินสถานการณ์ ตรวจสอบ ป้องกัน แจ้งเหตุ ฯลฯ,🔹 Cyber Incident Response Plan (IRP)
มาตรา 59,พ.ร.บ.ไซเบอร์,สนับสนุนหน่วยงานอื่นในการรับมือภัยไซเบอร์ และแจ้งเตือนเมื่อพบภัย,🔹 CIRP Tabletop Exercise (TTX)
ข้อ 21.3.6,กรอบมาตรฐาน,ต้องมีการทดสอบเจาะระบบอย่างน้อยปีละ 1 ครั้ง,🔹 Penetration Testing (PT)
ข้อ 22.2.2-22.2.4,กรอบมาตรฐาน,"ต้องมี Security Baseline, ตรวจสอบและ Review",🔹 Security Hardening & Baseline Configuration Review
ข้อ 21.3.1-21.3.3,กรอบมาตรฐาน,ประเมินช่องโหว่ครอบคลุมระบบ IT/ICS ก่อนเปลี่ยนแปลง,🔹 Vulnerability Assessment (VA) + Change Impact Review
ข้อ 21.3.9,กรอบมาตรฐาน,มี Process จัดการช่องโหว่,🔹 Vulnerability Management Program (VMP)
ข้อ 21.3.7,กรอบมาตรฐาน,ผู้ทดสอบเจาะระบบต้องมีใบรับรองและเป็นอิสระ,🔹 PT by Certified & Independent Consultant (e.g. OSCP)
ข้อ 22.4.1-22.4.2,กรอบมาตรฐาน,USB & Portable Device Security + Encryption,🔹 Endpoint Security Policy Design & Technical Review
ข้อ 22.5.1,กรอบมาตรฐาน,Awareness Program สำหรับทุกกลุ่มผู้ใช้,🔹 Cybersecurity Awareness Program (Custom/Generic)
ข้อ 23.1.1,กรอบมาตรฐาน,ตรวจจับและวิเคราะห์ภัยไซเบอร์,🔹 Threat Monitoring & SIEM/SOC Service
ข้อ 21.4.1-21.4.4,กรอบมาตรฐาน,บริหารจัดการความมั่นคงของ Third Party,🔹 Third Party Risk Management & Contract Advisory
